Group No,Group Name,Name,Sub Name,Repeater Call Sign,Gateway Call Sign,Frequency,Dup,Offset,Mode,TONE,Repeater Tone,RPT1USE,Position,Latitude,Longitude,UTC Offset
4,Canada,Winnipeg,Manitoba,VE4UMR B,VE4UMR G,443.2750,DUP+,5,DV,OFF,82.5Hz,Yes,Approximate,49,-96.44,-06:00
4,Canada,Winnipeg,Manitoba,VE4WDR B,VE4WDR G,444.5750,DUP+,5,DV,OFF,82.5Hz,Yes,Approximate,49.88,-97.15,-06:00
4,Canada,Winnipeg,Manitoba,VE4WDR C,VE4WDR G,145.4900,DUP-,0.6,DV,OFF,82.5Hz,Yes,Approximate,49.88,-97.15,-06:00
4,Canada,Saint John,New Brunswick,VE9SJN C,VE9SJN G,145.2900,DUP-,0.6,DV,OFF,82.5Hz,Yes,Approximate,45.32,-66.06,-04:00
4,Canada,St Johns,Newfoundland,VO1TZ  C,VO1TZ  G,145.0900,DUP+,0.6,DV,OFF,82.5Hz,Yes,Approximate,47.53,-52.84,-03:30
4,Canada,St Johns,Newfoundland,VO1TZ  B,VO1TZ  G,443.4000,DUP+,5,DV,OFF,82.5Hz,Yes,Approximate,47.53,-52.84,-03:30
4,Canada,Antigonish,Nova Scotia,VE1JSR B,VE1JSR G,441.8000,DUP+,5,DV,OFF,82.5Hz,Yes,Approximate,45.62,-61.97,-02:00
4,Canada,Almonte,Ontario,VA3AAR C,VA3AAR G,145.5500,DUP-,0.6,DV,OFF,82.5Hz,Yes,Approximate,45.17,-76.29,-05:00
4,Canada,Almonte,Ontario,VA3AAR B,VA3AAR G,444.1000,DUP+,5,DV,OFF,82.5Hz,Yes,Approximate,45.17,-76.29,-05:00
4,Canada,Blenheim,Ontario,VA3IBA C,VA3IBA G,145.7900,DUP-,0,DV,OFF,82.5Hz,Yes,Approximate,42.34,-81.98,-05:00
4,Canada,Burlington,Ontario,VE3RSB B,VE3RSB G,442.0375,DUP+,5,DV,OFF,82.5Hz,Yes,Approximate,43.36,-79.86,-05:00
4,Canada,Chatham,Ontario,VA3ODC C,VA3ODC G,145.1000,DUP-,0.6,DV,OFF,82.5Hz,Yes,Approximate,42.43,-82.2,-05:00
4,Canada,Cornwall,Ontario,VA3SDG C,VA3SDG G,145.5700,DUP-,0.6,DV,OFF,82.5Hz,Yes,Approximate,45.04,-74.74,-05:00
4,Canada,Cornwall,Ontario,VA3SDG B,VA3SDG G,444.4500,DUP+,5,DV,OFF,82.5Hz,Yes,Approximate,45.04,-74.74,-05:00
4,Canada,Fonthill- ON,Ontario,VE3PLF B,VE3PLF G,444.7250,DUP+,5,DV,OFF,82.5Hz,Yes,Approximate,43.05,-79.3,-05:00
4,Canada,Hamilton,Ontario,VE3WIK B,VE3WIK G,443.6375,DUP+,5,DV,OFF,82.5Hz,Yes,Approximate,43.39,-79.97,-05:00
4,Canada,Hamilton,Ontario,VE3WIK C,VE3WIK G,145.3300,DUP-,0.6,DV,OFF,82.5Hz,Yes,Approximate,43.39,-79.97,-05:00
4,Canada,Leamington,Ontario,VE3LNK C,VE3LNK G,145.6900,DUP-,0,DV,OFF,82.5Hz,Yes,Approximate,42.06,-82.6,-05:00
4,Canada,Little Current,Ontario,VE3RXR C,VE3RXR G,145.3100,DUP-,0.6,DV,OFF,82.5Hz,Yes,Approximate,45.96,-81.93,-05:00
4,Canada,Little Current,Ontario,VE3RXR B,VE3RXR G,442.0500,DUP+,5,DV,OFF,82.5Hz,Yes,Approximate,45.96,-81.93,-05:00
4,Canada,London,Ontario,VE3TTT B,VE3TTT G,442.3000,DUP+,5,DV,OFF,82.5Hz,Yes,Approximate,42.99,-81.24,-05:00
4,Canada,Maple,Ontario,VA3ITL B,VA3ITL G,442.2125,DUP+,5,DV,OFF,82.5Hz,Yes,Approximate,44.11,-79.19,-05:00
4,Canada,Maple,Ontario,VE3LEO C,VE3LEO G,144.3000,DUP-,0,DV,OFF,82.5Hz,Yes,Approximate,44.19,-79.32,-05:00
4,Canada,Maple,Ontario,VE3LEO B,VE3LEO G,446.0000,DUP-,0,DV,OFF,82.5Hz,Yes,Approximate,44.19,-79.32,-05:00
4,Canada,Milverton,Ontario,VE3NMN C,VE3NMN G,147.4150,DUP-,0,DV,OFF,82.5Hz,Yes,Approximate,43.57,-80.91,-05:00
4,Canada,Milverton,Ontario,VE3NMN B,VE3NMN G,438.1000,DUP-,0,DV,OFF,82.5Hz,Yes,Approximate,43.57,-80.91,-05:00
4,Canada,Mississauga,Ontario,VA3PMO B,VA3PMO G,444.2500,DUP+,5,DV,OFF,82.5Hz,Yes,Approximate,43.59,-79.64,-05:00
4,Canada,Mississauga,Ontario,VE3RSD C,VE3RSD G,147.5400,DUP-,0,DV,OFF,82.5Hz,Yes,Approximate,43.6,-79.78,-05:00
4,Canada,Mississauga,Ontario,VE3RSD B,VE3RSD G,443.8125,DUP+,5,DV,OFF,82.5Hz,Yes,Approximate,43.6,-79.78,-05:00
4,Canada,Mt.St. Patrick,Ontario,VE3STP C,VE3STP G,147.5400,DUP-,0,DV,OFF,82.5Hz,Yes,Approximate,45.31,-76.9,-05:00
4,Canada,Mt.St. Patrick,Ontario,VE3STP B,VE3STP G,443.8125,DUP+,5,DV,OFF,82.5Hz,Yes,Approximate,45.31,-76.9,-05:00
4,Canada,Niagara on the L,Ontario,VA3YYZ C,VA3YYZ G,144.9300,DUP+,0.6,DV,OFF,82.5Hz,Yes,Approximate,43.22,-79.13,-05:00
4,Canada,Niagara on the L,Ontario,VA3YYZ B,VA3YYZ G,442.6875,DUP+,5,DV,OFF,82.5Hz,Yes,Approximate,43.22,-79.13,-05:00
4,Canada,Norfolk,Ontario,VE3HJ  B,VE3HJ  G,444.5500,DUP+,5,DV,OFF,82.5Hz,Yes,Approximate,42.93,-80.28,-05:00
4,Canada,Ottawa,Ontario,VA3ODG B,VA3ODG G,444.8500,DUP+,5,DV,OFF,82.5Hz,Yes,Approximate,45.42,-75.68,-05:00
4,Canada,Ottawa,Ontario,VA3ODG C,VA3ODG G,145.5300,DUP-,0.6,DV,OFF,82.5Hz,Yes,Approximate,45.42,-75.68,-05:00
4,Canada,Perth,Ontario,VA3RDD C,VA3RDD G,147.2400,DUP+,0.6,DV,OFF,82.5Hz,Yes,Approximate,44.84,-76.18,-05:00
4,Canada,Perth,Ontario,VA3RDD B,VA3RDD G,444.8000,DUP+,5,DV,OFF,82.5Hz,Yes,Approximate,44.84,-76.18,-05:00
4,Canada,Phelpston,Ontario,VE3RIG B,VE3RIG G, 442.0500,DUP+,5,DV,OFF,82.5Hz,Yes,Approximate,44.52,-79.84,-05:00
4,Canada,Sault Ste. Marie,Ontario,VA3OTL B,VA3OTL G,443.0500,DUP+,5,DV,OFF,82.5Hz,Yes,Approximate,46.53,-84.31,-05:00
4,Canada,Sault Ste. Marie,Ontario,VA3OTL C,VA3OTL G,145.1300,DUP-,0.6,DV,OFF,82.5Hz,Yes,Approximate,46.53,-84.31,-05:00
4,Canada,Sault Ste. Marie,Ontario,VA3SNR C,VA3SNR G,145.2100,DUP-,0.6,DV,OFF,82.5Hz,Yes,Approximate,46.55,-84.32,-05:00
4,Canada,Simcoe County,Ontario,VE3LSR C,VE3LSR G,145.1900,DUP-,0.6,DV,OFF,82.5Hz,Yes,Approximate,44.54,-79.66,-05:00
4,Canada,Simcoe County,Ontario,VE3LSR B,VE3LSR G,444.3500,DUP+,5,DV,OFF,82.5Hz,Yes,Approximate,44.54,-79.66,-05:00
4,Canada,St Catharines,Ontario,VE3NUU B,VE3NUU G,443.8375,DUP+,5,DV,OFF,82.5Hz,Yes,Approximate,43.24,-79.21,-05:00
4,Canada,Sudbury,Ontario,VA3SRG C,VA3SRG G,147.0900,DUP+,0.6,DV,OFF,82.5Hz,Yes,Approximate,46.5,-81,-05:00
4,Canada,Thornhill,Ontario,VE3EBX B,VE3EBX G,444.0000,DUP-,0,DV,OFF,82.5Hz,Yes,Approximate,43.8,-79.55,-05:00
4,Canada,Toronto,Ontario,VA3DVN B,VA3DVN G,444.7375,DUP+,5,DV,OFF,82.5Hz,Yes,Approximate,43.7,-79.43,-05:00
4,Canada,Toronto,Ontario,VA3SLU B,VA3SLU G,442.4125,DUP+,5,DV,OFF,82.5Hz,Yes,Approximate,43.7,-79.43,-05:00
4,Canada,Toronto,Ontario,VE3YYZ B,VE3YYZ G,442.7000,DUP+,5,DV,OFF,82.5Hz,Yes,Approximate,43.65,-79.38,-05:00
4,Canada,Toronto,Ontario,VE3YYZ C,VE3YYZ G,144.9400,DUP+,0.6,DV,OFF,82.5Hz,Yes,Approximate,43.65,-79.38,-05:00
4,Canada,Whitechurch,Ontario,VE3WWD C,VE3WWD G,147.1950,DUP-,0,DV,OFF,82.5Hz,Yes,Approximate,43.91,-81.43,-05:00
4,Canada,Windsor,Ontario,VA3WDG B,VA3WDG G,445.8250,DUP-,0,DV,OFF,82.5Hz,Yes,Approximate,42.25,-82.96,-05:00
4,Canada,Windsor,Ontario,VE3ZIN B,VE3ZIN G,434.7750,DUP-,0,DV,OFF,82.5Hz,Yes,Approximate,42.32,-82.97,-05:00
4,Canada,Charlottetown,Prince Edward Island,VE1UHF B,VE1UHF G,443.3000,DUP+,5,DV,OFF,82.5Hz,Yes,Approximate,46.21,-63.22,-04:00
4,Canada,Charlottetown,Prince Edward Island,VE1UHF C,VE1UHF G,146.7150,DUP-,0.6,DV,OFF,82.5Hz,Yes,Approximate,46.21,-63.22,-04:00
4,Canada,Kensington,Prince Edward Island,VY2DSR C,VY2DSR G,147.3150,DUP+,0.6,DV,OFF,82.5Hz,Yes,Approximate,46.43,-63.63,-05:00
4,Canada,Alma,Quebec,VE2RVI B,VE2RVI G,442.6500,DUP+,5,DV,OFF,82.5Hz,Yes,Approximate,48.6,-71.59,-05:00
4,Canada,Covey Hill,Quebec,VA2REX B,VA2REX G,448.3250,DUP-,5,DV,OFF,82.5Hz,Yes,Approximate,45.02,-73.84,-05:00
4,Canada,Covey Hill,Quebec,VE2REX C,VE2REX G,145.5900,DUP-,0.6,DV,OFF,82.5Hz,Yes,Approximate,45.02,-73.79,-05:00
4,Canada,Drummondville,Quebec,VA2XNY C,VA2XNY G,145.5500,DUP-,0.6,DV,OFF,82.5Hz,Yes,Approximate,45.89,-73.52,-05:00
4,Canada,Gatineau,Quebec,VE2REG C,VE2REG G,147.1800,DUP+,0.6,DV,OFF,82.5Hz,Yes,Approximate,45.56,-75.5,-05:00
4,Canada,Gatineau,Quebec,VE2REG B,VE2REG G,442.6500,DUP+,5,DV,OFF,82.5Hz,Yes,Approximate,45.56,-75.5,-05:00
4,Canada,Gatineau ,Quebec,VE2REH C,VE2REH G,147.5400,DUP-,0,DV,OFF,82.5Hz,Yes,Approximate,43.6,-79.78,-05:00
4,Canada,Gatineau ,Quebec,VE2REH B,VE2REH G,446.2500,DUP-,5,DV,OFF,82.5Hz,Yes,Approximate,43.6,-79.78,-05:00
4,Canada,Gatineau ,Quebec,VE2REH B,VE2REH G,442.6500,DUP+,5,DV,OFF,82.5Hz,Yes,Approximate,43.6,-79.78,-05:00
4,Canada,île St Ignace,Quebec,VE2SEW A,VE2SEW G,434.0000,DUP-,0,DV,OFF,82.5Hz,Yes,Approximate,46.11,-73.1,-05:00
4,Canada,Maskinonge,Quebec,VA2RPK B,VA2RPK G,442.2000,DUP+,5,DV,OFF,82.5Hz,Yes,Approximate,46.23,-73.01,-05:00
4,Canada,Maskinonge,Quebec,VE2RRJ B,VE2RRJ G,442.2000,DUP+,5,DV,OFF,82.5Hz,Yes,Approximate,46.23,-73.01,-05:00
4,Canada,Mont St-Gregoire,Quebec,VA2RKA B,VA2RKA G,446.1500,DUP-,5,DV,OFF,82.5Hz,Yes,Approximate,45.36,-73.14,-05:00
4,Canada,Mont-Orford,Quebec,VE2RTO B,VE2RTO G,442.0000,DUP+,5,DV,OFF,82.5Hz,Yes,Approximate,45.32,-72.24,-05:00
4,Canada,Montreal,Quebec,VE2RHH C,VE2RHH G,147.5400,DUP-,0,DV,OFF,82.5Hz,Yes,Approximate,45,-73,-05:00
4,Canada,Montreal,Quebec,VE2RHH B,VE2RHH G,443.8125,DUP+,5,DV,OFF,82.5Hz,Yes,Approximate,45,-73,-05:00
4,Canada,Mont-Saint-Grego,Quebec,VE2RVR B,VE2RVR G,444.2000,DUP+,5,DV,OFF,82.5Hz,Yes,Approximate,45.36,-73.14,-05:00
4,Canada,Quebec City,Quebec,VE2RQT B,VE2RQT G,449.9250,DUP-,5,DV,OFF,82.5Hz,Yes,Approximate,46.78,-71.27,-05:00
4,Canada,Quebec City,Quebec,VE2RQT C,VE2RQT G,144.9500,DUP-,0.6,DV,OFF,82.5Hz,Yes,Approximate,46.78,-71.27,-05:00
4,Canada,Rigaud,Quebec,VE2RM  B,VE2RM  G,442.2500,DUP+,5,DV,OFF,82.5Hz,Yes,Approximate,45.46,-74.29,-05:00
4,Canada,Rougemont,Quebec,VE2RIO B,VE2RIO G,449.9250,DUP-,5,DV,OFF,82.5Hz,Yes,Approximate,45.48,-73.07,-05:00
4,Canada,Rougemont,Quebec,VE2RIO C,VE2RIO G,145.5300,DUP-,0.6,DV,OFF,82.5Hz,Yes,Approximate,45.48,-73.07,-05:00
4,Canada,Saint-Calixte,Quebec,VA2RKB C,VA2RKB G,145.5100,DUP-,0.6,DV,OFF,82.5Hz,Yes,Approximate,45.98,-73.92,-05:00
4,Canada,Sherbrooke,Quebec,VA2RNJ B,VA2RNJ G,447.2750,DUP-,5,DV,OFF,82.5Hz,Yes,Approximate,45.41,-71.88,-05:00
4,Canada,Sherbrooke,Quebec,VE2RQF C,VE2RQF G,147.0600,DUP+,0.6,DV,OFF,82.5Hz,Yes,Approximate,45.42,-71.86,-05:00
4,Canada,Sorel,Quebec,VE2CST C,VE2CST G,146.9850,DUP-,0.6,DV,OFF,82.5Hz,Yes,Approximate,46.05,-73.09,-05:00
4,Canada,Sorel,Quebec,VE2FCT B,VE2FCT G,446.2500,DUP-,5,DV,OFF,82.5Hz,Yes,Approximate,46.05,-73.11,-05:00
4,Canada,St-Felix-de-Valo,Quebec,VA2RVB B,VA2RVB G,442.8000,DUP+,5,DV,OFF,82.5Hz,Yes,Approximate,46.16,-73.44,-05:00
4,Canada,Trois-Rivieres,Quebec,VA2LX  B,VA2LX  G,448.6750,DUP-,5,DV,OFF,82.5Hz,Yes,Approximate,46.36,-72.58,-05:00
4,Canada,Victoriarille,Quebec,VA2RVO C,VA2RVO G,145.5700,DUP-,0.6,DV,OFF,82.5Hz,Yes,Approximate,46.06,-71.88,-05:00
4,Canada,Martensville,Saskatchewan,VE5MBX B,VE5MBX G,449.5000,DUP-,5,DV,OFF,82.5Hz,Yes,Approximate,52.29,-106.66,-06:00
4,Canada,Saskatoon,Saskatchewan,VA5DR  B,VA5DR  G,448.1250,DUP-,5,DV,OFF,82.5Hz,Yes,Approximate,52.14,-106.64,-06:00
4,Canada,Whitehorse,Yukon Territory,VY1RDS C,VY1RDS G,146.8400,DUP-,0.6,DV,OFF,82.5Hz,Yes,Approximate,60.76,-135.23,-08:00
4,Canada,Whitehorse,Yukon Territory,VY1RDS B,VY1RDS G,443.9750,DUP+,5,DV,OFF,82.5Hz,Yes,Approximate,60.76,-135.23,-08:00
6,Europe - Northern,Aarhus S,Denmark,OZ2REL B,OZ2REL G,434.5750,DUP-,2,DV,OFF,82.5Hz,Yes,Approximate,56.06,10.21,+01:00
6,Europe - Northern,Broenderslev,Denmark,OZ2DST B,OZ2DST G,434.5875,DUP-,2,DV,OFF,82.5Hz,Yes,Approximate,57.28,9.96,+01:00
6,Europe - Northern,Esbjerg,Denmark,OZ4RED C,OZ4RED G,145.7625,DUP-,0.6,DV,OFF,82.5Hz,Yes,Approximate,55.51,8.46,+01:00
6,Europe - Northern,Esbjerg,Denmark,OZ4RED B,OZ4RED G,434.9625,DUP-,2,DV,OFF,82.5Hz,Yes,Approximate,55.51,8.46,+01:00
6,Europe - Northern,Hjallerup,Denmark,OZ1REC B,OZ1REC G,434.5500,DUP-,2,DV,OFF,82.5Hz,Yes,Approximate,57.17,10.16,+01:00
6,Europe - Northern,Hurup Thy,Denmark,OZ9RET C,OZ9RET G,145.6625,DUP-,0.6,DV,OFF,82.5Hz,Yes,Approximate,56.76,8.39,+01:00
6,Europe - Northern,Hurup Thy,Denmark,OZ9RET B,OZ9RET G,434.9875,DUP-,2,DV,OFF,82.5Hz,Yes,Approximate,56.76,8.39,+01:00
6,Europe - Northern,Nyborg,Denmark,OZ5DS  C,OZ5DS  G,145.7625,DUP-,0.6,DV,OFF,82.5Hz,Yes,Approximate,55.34,10.8,+01:00
6,Europe - Northern,Nyborg,Denmark,OZ5DS  B,OZ5DS  G,434.5500,DUP-,2,DV,OFF,82.5Hz,Yes,Approximate,55.34,10.8,+01:00
6,Europe - Northern,Randers,Denmark,OZ9REZ B,OZ9REZ G,434.5625,DUP-,2,DV,OFF,82.5Hz,Yes,Approximate,56.47,10.02,+01:00
6,Europe - Northern,Stoevring,Denmark,OZ4REN B,OZ4REN G,434.5250,DUP-,2,DV,OFF,82.5Hz,Yes,Approximate,56.89,9.82,+01:00
6,Europe - Northern,Trekanten,Denmark,OZ2REG C,OZ2REG G,434.5375,DUP-,2,DV,OFF,82.5Hz,Yes,Approximate,55.52,9.62,+01:00
6,Europe - Northern,Trekanten,Denmark,OZ2REG B,OZ2REG G,434.5750,DUP-,2,DV,OFF,82.5Hz,Yes,Approximate,55.52,9.62,+01:00
6,Europe - Northern,Trekanten,Denmark,OZ2REG A,OZ2REG G,434.4250,DUP-,0,DV,OFF,82.5Hz,Yes,Approximate,55.52,9.62,+01:00
6,Europe - Northern,Vivild,Denmark,OZ9DSD B,OZ9DSD G,434.4500,DUP-,0,DV,OFF,82.5Hz,Yes,Approximate,56.49,10.45,+01:00
6,Europe - Northern,Vissenbjerg,Syddanmark,OZ0REV B,OZ0REV G,434.5625,DUP-,2,DV,OFF,82.5Hz,Yes,Approximate,55.39,10.14,+01:00
6,Europe - Northern,Reykjavik,Iceland,TF3RPI B,TF3RPI G,439.9500,DUP-,5,DV,OFF,82.5Hz,Yes,Approximate,63.98,-21.63,+00:00
6,Europe - Northern,Bronnoysund,Norway,LD8BS  B,LD8BS  G,433.6375,DUP-,0,DV,OFF,82.5Hz,Yes,Approximate,65.5,12.25,+01:00
6,Europe - Northern,Drammen,Norway,LD3DV  B,LD3DV  G,434.5250,DUP-,2,DV,OFF,82.5Hz,Yes,Approximate,59.76,10.21,+01:00
6,Europe - Northern,Grimstad,Norway,LD4FH  B,LD4FH  G,434.7000,DUP-,2,DV,OFF,82.5Hz,Yes,Approximate,58.39,8.59,+01:00
6,Europe - Northern,Mo i Rana,Norway,LD8MR  B,LD8MR  G,434.8500,DUP-,2,DV,OFF,82.5Hz,Yes,Approximate,66.32,14.15,+01:00
6,Europe - Northern,Mosjoen,Norway,LD8MK  B,LD8MK  G,434.8250,DUP-,2,DV,OFF,82.5Hz,Yes,Approximate,65.88,13.2,+01:00
6,Europe - Northern,Narvik,Norway,LD8NA  B,LD8NA  G,434.7750,DUP-,2,DV,OFF,82.5Hz,Yes,Approximate,68.42,17.4,+01:00
6,Europe - Northern,Nesna,Norway,LD8NN  B,LD8NN  G,433.2750,DUP-,0,DV,OFF,82.5Hz,Yes,Approximate,66.22,13.06,+01:00
6,Europe - Northern,Ornes,Norway,LD8MM  B,LD8MM  G,433.6875,DUP-,0,DV,OFF,82.5Hz,Yes,Approximate,66.88,13.72,+01:00
6,Europe - Northern,Oslo,Norway,LD1OT  B,LD1OT  G,434.8625,DUP-,2,DV,OFF,82.5Hz,Yes,Approximate,59.99,10.67,+01:00
6,Europe - Northern,Risoer,Norway,LD4RH  B,LD4RH  G,434.5375,DUP-,0,DV,OFF,82.5Hz,Yes,Approximate,58.77,9.11,+01:00
6,Europe - Northern,Sandnessjoen,Norway,LD8SA  B,LD8SA  G,434.8000,DUP-,2,DV,OFF,82.5Hz,Yes,Approximate,66.01,12.62,+01:00
6,Europe - Northern,Skien,Norway,LD3GL  B,LD3GL  G,434.5125,DUP-,2,DV,OFF,82.5Hz,Yes,Approximate,59.24,9.7,+01:00
6,Europe - Northern,Stavanger,Norway,LD4VF  C,LD4VF  G,145.6375,DUP-,0.6,DV,OFF,82.5Hz,Yes,Approximate,58.93,5.8,+01:00
8,Europe - Western,Cherbourg,France,F1ZJE  B,F1ZJE  G,430.4375,DUP+,9.4,DV,OFF,82.5Hz,Yes,Approximate,49.65,-1.65,+01:00
8,Europe - Western,Den Helder,Netherlands,PI1DHR B,PI1DHR G,438.2625,DUP-,7.6,DV,OFF,82.5Hz,Yes,Approximate,52.96,4.77,+01:00
8,Europe - Western,Drachten,Netherlands,PI1DRA B,PI1DRA G,438.4000,DUP-,7.6,DV,OFF,82.5Hz,Yes,Approximate,53.11,6.11,+01:00
8,Europe - Western,IJmuiden,Netherlands,PI1YMD C,PI1YMD G,144.9750,DUP-,0,DV,OFF,82.5Hz,Yes,Approximate,52.47,4.6,+01:00
8,Europe - Western,IJmuiden,Netherlands,PI1YMD B,PI1YMD G,438.0750,DUP-,7.6,DV,OFF,82.5Hz,Yes,Approximate,52.47,4.6,+01:00
8,Europe - Western,IJmuiden,Netherlands,PI1YMD A,PI1YMD G,145.6000,DUP-,0.6,DV,OFF,82.5Hz,Yes,Approximate,52.47,4.6,+01:00
8,Europe - Western,SNEEK,Netherlands,PI1SNK B,PI1SNK G,438.3250,DUP-,7.6,DV,OFF,82.5Hz,Yes,Approximate,53.03,5.65,+01:00
8,Europe - Western,SNEEK,Netherlands,PI1SNK C,PI1SNK G,438.4375,DUP-,7.6,DV,OFF,82.5Hz,Yes,Approximate,53.03,5.65,+01:00
9,Germany,Norderney,Lower Saxony,DB0NEY B,DB0NEY G,439.8000,DUP-,9.4,DV,OFF,82.5Hz,Yes,Approximate,53.71,7.15,+01:00
11,Islands,Santa Cruz,Aruba,P43L   B,P43L   G,440.5000,DUP-,7.6,DV,OFF,82.5Hz,Yes,Approximate,12.52,-69.99,-04:00
11,Islands,Willemstad,Curacao,PJ2A   B,PJ2A   G,433.9000,DUP+,5,DV,OFF,82.5Hz,Yes,Approximate,12.1,-68.9,-04:00
11,Islands,Cayey,Puerto Rico,WP4OPM C,WP4OPM G,145.1300,DUP-,0.6,DV,OFF,82.5Hz,Yes,Approximate,18.12,-66.15,-05:00
11,Islands,Cayey,Puerto Rico,WP4OPM B,WP4OPM G,447.3750,DUP-,5,DV,OFF,82.5Hz,Yes,Approximate,18.12,-66.15,-05:00
13,Japan,Asahikawa,Hokkaido,JP8YEE A,JP8YEE G,439.4300,DUP-,5,DV,OFF,82.5Hz,Yes,Approximate,43.78,142.39,+09:00
13,Japan,Chitose,Hokkaido,JP8YEB A,JP8YEB G,439.4700,DUP-,5,DV,OFF,82.5Hz,Yes,Approximate,42.82,141.53,+09:00
13,Japan,Hakodate,Hokkaido,JP8YEA A,JP8YEA G,439.0300,DUP-,5,DV,OFF,82.5Hz,Yes,Approximate,41.86,140.94,+09:00
